uid_1071|tid_185|0|1|1
uid_1072|tid_180|1|0|1
uid_1040|tid_130|1|0|1
uid_1003|tid_155|1|0|1
uid_1072|tid_126|1|0|0
uid_1013|tid_114|1|0|0
uid_1068|tid_189|1|0|0
uid_1001|tid_133|0|1|0
uid_1082|tid_199|0|1|1
uid_1065|tid_159|1|1|0
uid_1050|tid_136|0|1|0
uid_1005|tid_153|0|1|0
uid_1095|tid_117|1|0|0
uid_1053|tid_171|1|0|1
uid_1051|tid_158|1|0|1
uid_1098|tid_154|0|0|0
uid_1060|tid_157|0|1|1
uid_1045|tid_160|0|1|1
uid_1084|tid_113|0|1|1
uid_1057|tid_121|0|0|1
uid_1048|tid_167|0|0|0
uid_1039|tid_175|1|1|1
uid_1002|tid_156|0|0|0
uid_1084|tid_133|1|1|0
uid_1057|tid_140|1|1|0
uid_1048|tid_143|1|1|0
uid_1022|tid_182|0|0|0
uid_1049|tid_153|1|1|1
uid_1053|tid_139|0|1|1
uid_1093|tid_113|0|0|1
uid_1032|tid_143|0|1|1
uid_1012|tid_173|1|1|0
uid_1079|tid_126|1|1|0
uid_1034|tid_101|1|1|0
uid_1015|tid_164|1|1|1
uid_1027|tid_179|1|0|1
uid_1096|tid_110|0|0|0
uid_1063|tid_183|0|0|1
uid_1098|tid_104|0|0|0
uid_1092|tid_169|0|1|0
uid_1026|tid_114|0|0|0
uid_1036|tid_107|0|0|0
uid_1037|tid_126|1|0|1
uid_1074|tid_118|1|0|0
uid_1028|tid_137|1|0|1
uid_1046|tid_161|0|0|0
uid_1035|tid_114|0|1|0
uid_1005|tid_140|1|1|0
uid_1083|tid_141|1|1|1
uid_1047|tid_143|0|1|1
uid_1001|tid_193|1|0|0
uid_1089|tid_123|1|1|1
uid_1062|tid_109|1|1|1
uid_1091|tid_123|1|1|0
uid_1077|tid_187|1|1|1
uid_1042|tid_189|1|0|1
uid_1009|tid_149|1|1|0
uid_1072|tid_189|1|0|0
uid_1046|tid_159|1|1|1
uid_1094|tid_129|1|1|1
uid_1059|tid_175|0|0|1
uid_1006|tid_145|1|1|0
uid_1026|tid_131|1|1|1
uid_1044|tid_163|0|0|0
uid_1061|tid_164|0|1|0
uid_1013|tid_169|0|1|0
uid_1028|tid_111|1|1|1
uid_1002|tid_126|1|1|0
uid_1084|tid_192|0|0|0
uid_1100|tid_131|1|0|0
uid_1049|tid_184|1|0|1
uid_1084|tid_159|1|1|1
uid_1072|tid_103|0|1|0
uid_1058|tid_196|0|1|0
uid_1074|tid_112|1|0|1
uid_1054|tid_170|0|0|1
uid_1014|tid_119|1|1|0
uid_1037|tid_149|1|0|1
uid_1043|tid_180|1|0|0
uid_1100|tid_105|0|1|1
uid_1074|tid_104|1|1|1
uid_1051|tid_193|0|0|1
uid_1070|tid_105|1|1|0
uid_1086|tid_168|1|1|0
uid_1061|tid_158|1|0|1
uid_1019|tid_126|1|1|0
uid_1026|tid_159|1|1|1
uid_1040|tid_110|0|1|0
uid_1096|tid_131|1|0|1
uid_1012|tid_189|1|0|1
uid_1075|tid_122|1|1|0
uid_1090|tid_166|0|0|1
uid_1029|tid_165|0|0|1
uid_1057|tid_124|0|1|1
uid_1091|tid_155|0|0|1
uid_1002|tid_164|1|0|1
uid_1029|tid_199|1|1|0
uid_1051|tid_113|1|1|1
uid_1053|tid_169|0|0|0
uid_1095|tid_109|1|0|0
uid_1008|tid_125|1|0|1
uid_1029|tid_108|0|1|0
uid_1060|tid_128|0|0|0
uid_1055|tid_167|0|0|0
uid_1054|tid_134|1|0|0
uid_1092|tid_140|0|1|1
uid_1050|tid_144|1|1|1
uid_1097|tid_167|0|0|0
uid_1008|tid_177|0|1|1
uid_1005|tid_134|0|0|0
uid_1005|tid_195|1|0|0
uid_1074|tid_106|0|0|1
uid_1091|tid_177|0|1|1
uid_1042|tid_179|1|0|0
uid_1018|tid_129|1|0|1
uid_1007|tid_126|0|0|0
uid_1053|tid_185|0|1|0
uid_1083|tid_195|1|1|0
uid_1077|tid_184|1|1|1
uid_1037|tid_122|1|1|0
uid_1040|tid_105|1|1|1
uid_1081|tid_172|1|1|1
uid_1060|tid_128|0|1|0
uid_1040|tid_136|0|1|1
uid_1091|tid_147|1|0|1
uid_1067|tid_161|1|1|1
uid_1058|tid_134|0|1|0
uid_1064|tid_130|0|0|1
uid_1050|tid_159|1|0|1
uid_1099|tid_154|0|0|0
uid_1035|tid_196|1|0|1
uid_1054|tid_124|0|0|0
uid_1003|tid_147|0|0|1
uid_1098|tid_183|1|0|0
uid_1009|tid_146|1|0|0
uid_1070|tid_169|1|0|1
uid_1071|tid_156|1|1|0
uid_1022|tid_198|0|1|1
uid_1010|tid_181|0|0|0
uid_1086|tid_109|1|0|1
uid_1004|tid_139|0|0|1
uid_1012|tid_193|0|1|0
uid_1033|tid_176|0|0|1
uid_1066|tid_173|1|0|1
uid_1025|tid_145|0|0|0
uid_1006|tid_163|0|0|1
uid_1087|tid_128|0|1|0
uid_1056|tid_191|1|1|1
uid_1041|tid_172|0|0|0
uid_1093|tid_195|0|1|0
